2025-10-17 17:01:28,414 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: 738683f643... | Extra: {}
2025-10-17 17:01:28,965 | CPiwigoManager | INFO | piwigo_get_categories:542 | Liste des catégories récupérée avec succès | Extra: {}
2025-10-17 17:01:28,965 | CPiwigoManager | INFO | piwigo_get_categories:542 | Liste des catégories récupérée avec succès | Extra: {}
2025-10-17 17:01:28,965 | CPiwigoManager | INFO | piwigo_get_categories:542 | Liste des catégories récupérée avec succès | Extra: {}
2025-10-17 17:01:28,965 | CPiwigoManager | INFO | piwigo_get_categories:542 | Liste des catégories récupérée avec succès | Extra: {}
2025-10-17 17:01:28,965 | CPiwigoManager | INFO | piwigo_get_categories:542 | Liste des catégories récupérée avec succès | Extra: {}
2025-10-17 17:01:28,965 | CPiwigoManager | INFO | piwigo_get_categories:542 | Liste des catégories récupérée avec succès | Extra: {}
2025-10-17 17:01:28,965 | CPiwigoManager | INFO | piwigo_get_categories:542 | Liste des catégories récupérée avec succès | Extra: {}
2025-10-17 17:05:33,934 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 17:05:33,934 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 17:05:33,934 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 17:05:33,934 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 17:05:33,934 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 17:05:33,934 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 17:05:33,934 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 17:05:33,934 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 17:05:34,224 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 17:05:34,224 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 17:05:34,224 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 17:05:34,224 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 17:05:34,224 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 17:05:34,224 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 17:05:34,224 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 17:05:34,224 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 17:05:34,285 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: 257223afe9... | Extra: {}
2025-10-17 17:05:34,285 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: 257223afe9... | Extra: {}
2025-10-17 17:05:34,285 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: 257223afe9... | Extra: {}
2025-10-17 17:05:34,285 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: 257223afe9... | Extra: {}
2025-10-17 17:05:34,285 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: 257223afe9... | Extra: {}
2025-10-17 17:05:34,285 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: 257223afe9... | Extra: {}
2025-10-17 17:05:34,285 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: 257223afe9... | Extra: {}
2025-10-17 17:05:34,285 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: 257223afe9... | Extra: {}
