2025-09-30 12:53:09,427 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: 0aa41ab4, durée: 0.08s) | Extra: {}
2025-09-30 12:54:39,554 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: 0a4a7260 | Extra: {}
2025-09-30 12:54:39,557 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: a076de7d) | Extra: {}
2025-09-30 12:54:39,623 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 12:54:39,625 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 12:54:39,625 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: a076de7d, durée: 0.07s) | Extra: {}
2025-09-30 12:54:39,626 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: d4488013) | Extra: {}
2025-09-30 12:54:39,685 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 12:54:39,687 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: d4488013, durée: 0.06s) | Extra: {}
2025-09-30 12:58:45,705 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: 69098128 | Extra: {}
2025-09-30 12:58:45,709 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: d2528d2b) | Extra: {}
2025-09-30 12:58:45,761 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 12:58:45,764 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 12:58:45,765 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: d2528d2b, durée: 0.06s) | Extra: {}
2025-09-30 12:58:45,767 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: 8c1e81c8) | Extra: {}
2025-09-30 12:58:59,427 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 12:58:59,428 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: 8c1e81c8, durée: 13.66s) | Extra: {}
2025-09-30 13:01:45,536 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: b70c55cc | Extra: {}
2025-09-30 13:01:45,536 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: b70c55cc | Extra: {}
2025-09-30 13:01:45,544 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: bf52d1b3) | Extra: {}
2025-09-30 13:01:45,544 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: bf52d1b3) | Extra: {}
2025-09-30 13:01:45,593 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 13:01:45,593 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 13:01:45,596 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 13:01:45,596 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 13:01:45,597 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: bf52d1b3, durée: 0.05s) | Extra: {}
2025-09-30 13:01:45,597 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: bf52d1b3, durée: 0.05s) | Extra: {}
2025-09-30 13:01:45,598 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: 12437933) | Extra: {}
2025-09-30 13:01:45,598 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: 12437933) | Extra: {}
2025-09-30 13:01:45,662 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 13:01:45,662 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 13:01:45,665 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: 12437933, durée: 0.07s) | Extra: {}
2025-09-30 13:01:45,665 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: 12437933, durée: 0.07s) | Extra: {}
2025-09-30 13:03:52,084 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: 4d4cc665 | Extra: {}
2025-09-30 13:03:52,084 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: 754f4652) | Extra: {}
2025-09-30 13:03:52,188 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 13:03:52,189 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 13:03:52,190 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: 754f4652, durée: 0.11s) | Extra: {}
2025-09-30 13:03:52,194 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: 4f15889d) | Extra: {}
2025-09-30 13:03:52,273 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 13:03:52,275 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: 4f15889d, durée: 0.08s) | Extra: {}
2025-09-30 13:05:51,501 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: a67f1a37 | Extra: {}
2025-09-30 13:05:51,504 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: cf3fadba) | Extra: {}
2025-09-30 13:05:51,597 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 13:05:51,598 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 13:05:51,600 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: cf3fadba, durée: 0.10s) | Extra: {}
2025-09-30 13:05:51,604 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: 75c5fa9d) | Extra: {}
2025-09-30 13:05:51,668 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 13:05:51,669 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: 75c5fa9d, durée: 0.06s) | Extra: {}
2025-09-30 13:08:17,375 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: ea68731f | Extra: {}
2025-09-30 13:08:17,379 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: 17f4a926) | Extra: {}
2025-09-30 13:08:17,503 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
